VIN,Date Time,Odometer,Miles Driven,Fuel Type,Units,Price Per Unit,Total Amount,Non-Fuel Transaction,,,,,,"1,233,106",64491,19.12059936
WD3PF0CD7KT003730,7/6/2022,"102,203",277,Diesel,13,$6.35,$81.51,No,,,,,,,,
WD3PF0CD7KT003730,7/12/2022,"102,567",364,Diesel,15,$6.15,$94.41,No,,,,,,,,
WD3PF0CD7KT003730,7/15/2022,"102,929",362,Diesel,20,$6.10,$119.76,No,,,,,,,,
WD3PF0CD7KT003730,7/18/2022,"103,276",347,Diesel,21,$5.50,$115.43,No,,,,,,,,
WD3PF0CD7KT003730,7/22/2022,"103,554",375,Diesel,19,$5.95,$115.39,No,,,,,,,,
WD4PF0ED3KT009954,7/1/2022,"107,790",109,Premium,13,$5.80,$75.03,No,,,,,,,,
WD4PF0ED3KT009954,7/1/2022,"107,951",161,Premium,22,$5.80,$124.97,No,,,,,,,,
WD4PF0ED3KT009954,7/2/2022,"108,150",199,Premium,23,$5.80,$136.17,No,,,,,,,,
WD4PF0ED3KT009954,7/5/2022,"108,324",174,Premium,24,$5.80,$136.58,No,,,,,,,,
WD4PF0ED3KT009954,7/6/2022,"108,537",213,Premium,17,$5.96,$100.00,No,,,,,,,,
WD4PF0ED3KT009954,7/7/2022,"108,690",366,Premium,24,$5.70,$134.54,No,,,,,,,,
WD4PF0ED3KT009954,7/11/2022,"108,922",232,Premium,14,$5.52,$75.04,No,,,,,,,,
WD4PF0ED3KT009954,7/12/2022,0,214,Premium,14,$5.42,$75.02,No,,,,,,,,
WD4PF0ED3KT009954,7/12/2022,"109,099",340,Premium,22,$5.70,$124.98,No,,,,,,,,
WD4PF0ED3KT009954,7/13/2022,"109,308",209,Premium,24,$5.70,$134.27,No,,,,,,,,
WD4PF0ED3KT009954,7/14/2022,"109,460",152,Premium,14,$5.50,$75.01,No,,,,,,,,
WD4PF0ED3KT009954,7/14/2022,"109,698",238,Premium,22,$5.70,$124.98,No,,,,,,,,
WD4PF0ED3KT009954,7/17/2022,"109,798",363,Premium,23,$5.70,$133.61,No,,,,,,,,
WD4PF0ED3KT009954,7/18/2022,"110,005",207,Premium,24,$5.70,$134.87,No,,,,,,,,
WD4PF0ED3KT009954,7/20/2022,"110,289",284,Premium,14,$5.40,$75.53,No,,,,,,,,
WD4PF0ED3KT009954,7/21/2022,"110,449",160,Premium,14,$5.36,$75.05,No,,,,,,,,
WD4PF0ED3KT009954,7/21/2022,"110,584",135,Premium,14,$5.13,$74.28,No,,,,,,,,
