Branch_ID,BranchDesc,Division,Region,BranchSize,Last Svc Wip Total,Eval Count,Remote Eval %,Eval @ Home %,Eval @ Branch %,Repair @ Branch,Repair @ Home %,#Techs,Ttl Tech Activities,% Overtime,Repair Dlvrys,DOO,Rev Tech Hr,T 13 Svc Rev / Tech Hour,Avg Svc  Rev /Order,CB Complete Count,Dlvry Count,CBC Timeliness,BE Cmpl %,Total Tech Dlvrys per Tech Hr,Service Rev,Total Rev,Total Mnthly Budget,MTD Budget Goal,% to Goal MTD Svc Rev,T3 PG Overall,Svc TCT (P50),Direct Auto Costs/Ttl Rev,Ttl Dlvrys,Total Tech Hours,TechHours,Total Tech NewEquip Dlvrys as % of Ttl Tech Made Dlvrys,Total Tech Evals & Dlvrys
13,Mobile,Southeast,SEC,Other,"$38,779",21,14.3%,61.9%,19.0%,0.0%,100.0%,3,192,5.7%,22,51.5,$56.89,$69.1,$570,20,22,90.5%,21.7%,0.132,"$12,529","$85,803.05",,,,,36,,29,220,220.22,37.93%,48
22,Hayward,Western,Northern California,Cat 5,"$163,270",63,19.0%,71.4%,4.8%,0.0%,100.0%,4,336,4.2%,25,84.1,$52.66,$74.3,$699,64,25,95.0%,9.3%,0.078,"$17,480","$176,595.05",,,,,49,,26,332,331.98,23.08%,80
40,Fairfield,Western,Northern California,Other,"$32,942",54,51.9%,42.6%,5.6%,0.0%,100.0%,2,249,0.2%,32,26.7,$49.89,$81.0,$191,53,32,94.1%,0.0%,0.383,"$6,120","$54,711.87",,,,,20,,47,123,122.65,31.91%,96
68,Nashville,Southeast,ACC,Cat 3,"$89,972",28,50.0%,32.1%,10.7%,0.0%,100.0%,3,400,7.4%,27,63.4,$51.15,$54.0,$486,32,27,92.3%,21.4%,0.183,"$13,120","$172,190.29",,,,,58,,47,257,256.5,42.55%,53
70,Redlands,Western,Southern Pacific,Cat 3,"$100,888",17,17.6%,47.1%,5.9%,0.0%,100.0%,4,362,6.7%,10,127.9,$30.36,$40.9,$905,24,10,93.8%,4.7%,0.114,"$9,052","$71,465.24",,,,,85,,34,298,298.15,70.59%,51
80,New Orleans,Southeast,Gulf Coast,Other,"$35,638",11,54.5%,45.5%,0.0%,0.0%,100.0%,1,96,9.8%,4,57.3,$29.55,$51.0,$662,14,4,90.0%,0.0%,0.033,"$2,649","$48,097.51",,,,,46,,3,90,89.66,33.33%,5
82,Beaumont,Southeast,Gulf Coast,Other,"$77,996",11,27.3%,45.5%,27.3%,0.0%,100.0%,2,134,0.0%,7,77.9,$22.99,$55.1,$371,11,7,100.0%,10.0%,0.106,"$2,594","$83,992.92",,,,,49,,12,113,112.8,41.67%,23
88,Las Vegas,Western,Southwest,Cat 3,"$23,182",8,37.5%,62.5%,0.0%,0.0%,100.0%,1,104,7.0%,1,,,,,11,1,87.5%,12.5%,0.075,,"$72,972.02",,,,,52,,5,67,66.85,100.00%,9
89,Minneapolis,Central,North Central,Cat 3,"$168,366",56,21.4%,62.5%,3.6%,0.0%,100.0%,4,358,2.4%,16,160.4,$51.92,$66.9,$935,47,16,100.0%,14.0%,0.087,"$14,961","$78,739.97",,,,,84,,25,288,288.16,36.00%,95
97,Denver,Western,Southwest,Other,"$75,042",5,60.0%,40.0%,0.0%,0.0%,100.0%,1,54,2.1%,4,147.3,$59.74,$50.0,$690,6,4,100.0%,1.9%,0.065,"$2,761","$6,800.87",,,,,49,,3,46,46.22,0.00%,5
135,Marquette,Central,North Central,Other,"$29,044",3,33.3%,33.3%,33.3%,0.0%,100.0%,1,51,12.7%,4,69.7,$28.94,$52.2,$646,2,4,100.0%,10.0%,0.045,"$2,582","$2,582.45",,,,,56,,4,89,89.25,0.00%,8
143,St. Petersburg,Southeast,SEC,Other,"$99,391",46,13.0%,80.4%,6.5%,0.0%,100.0%,7,350,2.1%,34,69.9,$41.18,$30.5,$444,40,34,87.5%,25.0%,0.180,"$15,090","$270,375.85",,,,,61,,66,372,366.48,50.00%,109
146,Augusta,Southeast,ACC,Other,"$24,796",6,66.7%,33.3%,0.0%,0.0%,100.0%,,51,,3,43.4,,,"$1,114",6,3,100.0%,,,"$3,342","$12,592.97",,,,,35,,,,,,
150,Cumberland,Northeast,Mid-Atlantic,Other,"$47,173",13,30.8%,69.2%,0.0%,0.0%,100.0%,2,146,9.5%,5,88.4,$24.11,$27.8,$843,13,5,100.0%,6.8%,0.103,"$4,213","$84,874.62",,,,,95,,18,175,174.74,72.22%,31
161,St. Louis,Central,North Central,Other,"$47,276",15,20.0%,46.7%,6.7%,0.0%,100.0%,4,168,5.6%,4,118.4,$5.25,$12.3,$417,20,4,86.7%,1.6%,0.044,"$1,669","$37,924.21",,,,,51,,14,632,318.06,78.57%,41
168,Chattanooga TN,Southeast,ACC,Cat 3,"$44,244",26,26.9%,57.7%,11.5%,0.0%,100.0%,2,201,1.8%,11,57.2,$37.53,$52.2,$540,29,11,100.0%,4.9%,0.158,"$5,943","$65,427.14",,,,,43,,25,158,158.35,64.00%,51
169,Knoxville,Southeast,ACC,Cat 3,"$41,675",15,40.0%,53.3%,0.0%,0.0%,100.0%,3,99,1.1%,6,69.2,$9.40,$34.2,$280,15,6,100.0%,6.0%,0.056,"$1,677","$18,256.39",,,,,39,,10,178,178.45,40.00%,25
170,Tri-Cities,Southeast,ACC,Other,"$27,723",2,100.0%,0.0%,0.0%,0.0%,100.0%,1,62,0.9%,3,83.6,$0.65,,$17,3,3,50.0%,11.1%,0.113,$52,"$46,070.28",,,,,76,,9,80,79.72,66.67%,12
176,Tulsa,Western,Southwest,Other,"$88,651",23,13.0%,82.6%,0.0%,0.0%,100.0%,2,188,3.9%,19,104.6,$63.03,$41.2,$462,30,19,81.8%,15.4%,0.165,"$8,775","$41,441.17",,,,,79,,23,139,139.21,17.39%,45
179,Waco,Southeast,South Central Texas,Other,"$13,388",3,33.3%,66.7%,0.0%,0.0%,100.0%,1,35,3.8%,1,123.8,$18.66,$19.1,$931,4,1,66.7%,66.7%,0.020,$931,"$3,828.24",,,,,120,,1,50,49.9,0.00%,5
186,Ft Worth,Southeast,Gulf Coast,Other,"$1,497",2,0.0%,100.0%,0.0%,0.0%,100.0%,,51,7.5%,1,,,,,2,1,50.0%,,,,"$53,102.32",,,,,29,,12,143,,91.67%,26
