VIN,Date Time,Odometer,Miles Driven,Fuel Type,Units,Price Per Unit,Total Amount,Non-Fuel Transaction
WD3PF0CD7KT003730,7/6/2022,"102,203",277,Diesel,13,$6.35,$81.51,No
WD3PF0CD7KT003730,7/12/2022,"102,567",364,Diesel,15,$6.15,$94.41,No
WD4PF0ED3KT009954,7/1/2022,"107,790",109,Premium,13,$5.80,$75.03,No
WD4PF0ED3KT009954,7/1/2022,"107,951",161,Premium,22,$5.80,$124.97,No
WD4PF0ED3KT009954,7/2/2022,"108,150",199,Premium,23,$5.80,$136.17,No
WD4PF0ED3KT009954,7/5/2022,"108,324",174,Premium,24,$5.80,$136.58,No
WD4PF0ED3KT009954,7/6/2022,"108,537",213,Premium,17,$5.96,$100.00,No
WD4PF0ED3KT009954,7/7/2022,"108,690",367,Premium,24,$5.70,$134.54,No
WD4PF0ED3KT009954,7/11/2022,"108,922",232,Premium,14,$5.52,$75.04,No
WD4PF0ED3KT009954,7/12/2022,0,215,Premium,14,$5.42,$75.02,No
WD4PF0ED3KT009954,7/12/2022,"109,099",341,Premium,22,$5.70,$124.98,No
WD4PF0ED3KT009954,7/13/2022,"109,308",209,Premium,24,$5.70,$134.27,No
WD4PF0ED3KT009954,7/14/2022,"109,460",152,Premium,14,$5.50,$75.01,No
WD4PF0ED3KT009954,7/14/2022,"109,698",238,Premium,22,$5.70,$124.98,No
5TFAZ5CN2HX034460,7/7/2022,"97,212",324,Regular,17,$4.20,$73.31,No
JTDKDTB37E1076337,7/11/2022,"175,989",288,Regular,7,$4.16,$28.08,No
JTDKDTB37E1076337,7/13/2022,"176,312",286,Regular,7,$4.20,$28.19,No
WD3PG2EAXG3086735,7/6/2022,"112,087",387,Regular,15,$5.20,$76.63,No
WD3PG2EAXG3086735,7/12/2022,"112,548",461,Regular,16,$5.00,$77.58,No
3C6TRVBG4EE103938,7/12/2022,"92,815",263,Regular,17,$5.50,$93.37,No
,,,,,,,,
,,,,,,,,
1N6AF0KY3DN110875,7/1/2022,"181,169",160,Regular,20,$4.86,$97.64,No
1N6AF0KY3DN110875,7/5/2022,"181,344",175,Regular,11,$4.86,$54.04,No
1N6AF0KY3DN110875,7/6/2022,"181,450",201,Regular,17,$4.90,$85.11,No
1N6AF0KY3DN110875,7/7/2022,"181,740",290,Regular,8,$4.78,$37.00,No
1N6AF0KY3DN110875,7/8/2022,"181,798",119,Regular,10,$4.74,$48.78,No
1N6AF0KY3DN110875,7/10/2022,"181,906",242,Regular,21,$4.74,$99.20,No
