Location,VIN,Vehicle Name,Make,Status,Compliant,Calibration Version,IsActive,Economy,Idle Reduction,Reverse Speed Li,Spark Advance,Speed Limit,TCU Economy,TCU Speed Limit
2 - Birmingham AL,1FTYE1Y83MKA07443,91988,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
4 - Houston TX,1FT7X2B66NED00823,99156,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
4 - Houston TX,1FTYE1Y80MKA07478,91949,Ford,DERIVE OPTIMIZED,1,1.001FRWVA,Yes,Maximum,Maximum,No Option Available,No Option Available,85 MPH,No Option Available,No Option Available
4 - Houston TX,1FTYE1Y82MKA07479,91946,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
4 - Houston TX,1FTYE1Y89MKA07480,91944,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
4 - Houston TX,NM0LS7E25M1500923,91868,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
5 - Atlanta GA,1FTYE1Y85MKA07444,91984,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
5 - Atlanta GA,1FTYE1Y8XMKA07911,91986,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
5 - Atlanta GA,1FTYR1ZMXKKB49947,500164,Ford,FACTORY SETTINGS,0,STOCK,Yes,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available,No Option Available
7 - Dallas TX,1FTYR1YM4JKB17057,93695,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,Maximum,85 MPH,No Option Available,No Option Available
7 - Dallas TX,1FTYR1YM7KKB50989,500167,Ford,DERIVE OPTIMIZED,1,2.266FFDE,Yes,Maximum,Maximum,No Option Available,Maximum,85 MPH,No Option Available,No Option Available
